Date,Value
2000-01-31,98.441040263
1999-12-31,98.068247507
1999-11-30,97.84327091
1999-10-31,98.184923523
1999-09-30,98.763769008
1999-08-31,99.003710657
1999-07-31,98.917162469
1999-06-30,98.837290043
1999-05-31,98.645980884
1999-04-30,98.268384099
1999-03-31,97.843151885
1999-02-28,97.372878024
1999-01-31,97.004954853
1998-12-31,96.958551191
1998-11-30,97.190181747
1998-10-31,97.610757319
1998-09-30,97.964095773
1998-08-31,98.105001856
1998-07-31,98.256000338
1998-06-30,98.403174341
1998-05-31,98.404102266
1998-04-30,98.030843934
1998-03-31,97.242866267
1998-02-28,96.399760364
1998-01-31,96.003943941
1997-12-31,96.26231234
1997-11-30,96.660087901
1997-10-31,96.91658969
1997-09-30,97.147740822
1997-08-31,97.296129431
1997-07-31,97.135237267
1997-06-30,96.85677516
1997-05-31,96.7875621
1997-04-30,96.549469701
1997-03-31,95.974046089
1997-02-28,95.340354252
1997-01-31,94.847475153
1996-12-31,94.437064268
1996-11-30,94.174051598
1996-10-31,94.23620813
1996-09-30,94.245972869
1996-08-31,94.072083485
1996-07-31,93.982742847
1996-06-30,93.825348086
1996-05-31,93.468330608
1996-04-30,92.953281516
1996-03-31,92.067520242
1996-02-29,91.079065174
1996-01-31,90.574776368
1995-12-31,90.461312068
1995-11-30,90.471886071
1995-10-31,90.602487531
1995-09-30,90.825277247
1995-08-31,90.880699813
1995-07-31,90.670055369
1995-06-30,90.527147484
1995-05-31,90.352132016
1995-04-30,89.980451268
1995-03-31,89.568950814
1995-02-28,88.94452136
1995-01-31,88.180962659
1994-12-31,87.49243741
1994-11-30,86.894411167
1994-10-31,86.415568477
1994-09-30,85.849363878
1994-08-31,85.155217151
1994-07-31,84.539064416
1994-06-30,83.877446518
1994-05-31,82.965665929
1994-04-30,81.775396042
1994-03-31,80.354803786
1994-02-28,78.890593095
1994-01-31,77.651958745
1993-12-31,76.730794262
1993-11-30,76.035236556
1993-10-31,75.312945502
1993-09-30,74.440691626
1993-08-31,73.588220031
1993-07-31,72.767352907
1993-06-30,71.818607328
1993-05-31,70.755225113
1993-04-30,69.754051361
1993-03-31,68.79434249
1993-02-28,67.928622701
1993-01-31,67.317842793
1992-12-31,66.788596923
1992-11-30,66.112990028
1992-10-31,65.289168973
1992-09-30,64.392505039
1992-08-31,63.622897664
1992-07-31,63.08884017
1992-06-30,62.543812213
1992-05-31,61.808021592
1992-04-30,61.077037359
1992-03-31,60.41873929
1992-02-29,59.6923028
1992-01-31,58.93215552
1991-12-31,58.195796774
1991-11-30,57.539163749
1991-10-31,57.048512013
1991-09-30,56.696186063
1991-08-31,56.366777699
1991-07-31,55.901622058
1991-06-30,55.330891977
1991-05-31,54.748036555
1991-04-30,54.128786977
1991-03-31,53.537019597
1991-02-28,53.044017808
1991-01-31,52.674812234
1990-12-31,52.488358733
1990-11-30,52.462874749
1990-10-31,52.383677844
1990-09-30,52.138917929
1990-08-31,51.737320835
1990-07-31,51.199751577
1990-06-30,50.580022026
1990-05-31,49.94958588
1990-04-30,49.321946781
1990-03-31,48.674217628
1990-02-28,48.088622113
1990-01-31,47.59082986
1989-12-31,47.137857455
1989-11-30,46.69778625
1989-10-31,46.306671551
1989-09-30,46.040289346
1989-08-31,45.853572892
1989-07-31,45.512697693
1989-06-30,44.859590726
1989-05-31,44.116600231
1989-04-30,43.557718836
1989-03-31,43.106674151
1989-02-28,42.647562648
1989-01-31,42.247659445
1988-12-31,41.899414716
1988-11-30,41.598343181
1988-10-31,41.493024582
1988-09-30,41.503779811
1988-08-31,41.339953619
1988-07-31,40.929952754
1988-06-30,40.442558139
1988-05-31,40.003302009
1988-04-30,39.581059541
1988-03-31,39.210963382
1988-02-29,38.989856348
1988-01-31,38.913807953
1987-12-31,38.927277424
1987-11-30,39.01078513
1987-10-31,39.078755809
1987-09-30,39.043093081
1987-08-31,38.961653649
1987-07-31,38.964985059
1987-06-30,39.06161906
1987-05-31,39.123780321
1987-04-30,39.139513114
1987-03-31,39.172516126
1987-02-28,39.18245036
1987-01-31,39.173352798
1986-12-31,39.13218902
1986-11-30,38.927464114
1986-10-31,38.625223632
1986-09-30,38.803898631
1986-08-31,39.496598146
1986-07-31,40.074498396
1986-06-30,40.230302416
1986-05-31,39.880136482
1986-04-30,39.272950617
1986-03-31,39.063728564
1986-02-28,39.410823024
1986-01-31,39.902811834
1985-12-31,40.369545543
1985-11-30,40.675031638
1985-10-31,40.756671641
1985-09-30,40.747461296
1985-08-31,40.711208917
1985-07-31,40.708622354
1985-06-30,40.861816269
1985-05-31,41.169964622
1985-04-30,41.563166534
1985-03-31,42.083586419
1985-02-28,42.787471248
1985-01-31,43.551413138
1984-12-31,43.925087303
1984-11-30,43.623855922
1984-10-31,42.935493699
1984-09-30,42.277724699
1984-08-31,41.955149618
1984-07-31,42.028654827
1984-06-30,42.272466622
1984-05-31,42.506657286
1984-04-30,42.748555032
1984-03-31,43.034065542
1984-02-29,43.360516259
1984-01-31,43.687743181
1983-12-31,43.909358337
1983-11-30,43.984539279
1983-10-31,44.003871301
1983-09-30,44.029857268
1983-08-31,44.097387697
1983-07-31,44.210072259
1983-06-30,44.307114253
1983-05-31,44.394029629
1983-04-30,44.527307604
1983-03-31,44.696962974
1983-02-28,44.846562266
1983-01-31,44.914880947
1982-12-31,44.8336685
1982-11-30,44.599361665
1982-10-31,44.245468948
1982-09-30,43.803437219
1982-08-31,43.353468282
1982-07-31,42.96405625
1982-06-30,42.600620095
1982-05-31,42.199542121
1982-04-30,41.751680808
1982-03-31,41.291354608
1982-02-28,40.856130585
1982-01-31,40.467088546
1981-12-31,40.180011356
1981-11-30,40.120958472
1981-10-31,40.374952959
1981-09-30,40.872664256
1981-08-31,41.476851503
1981-07-31,42.089705952
1981-06-30,42.620747492
1981-05-31,42.984225715
1981-04-30,43.184807231
1981-03-31,43.294495306
1981-02-28,43.405254183
1981-01-31,43.57410395
1980-12-31,43.831689204
1980-11-30,44.182083385
1980-10-31,44.528832979
1980-09-30,44.74277649
1980-08-31,44.73912113
1980-07-31,44.518627575
1980-06-30,44.179632737
1980-05-31,43.856688274
1980-04-30,43.603718517
1980-03-31,43.385464935
1980-02-29,43.206196843
1980-01-31,43.112054406
1979-12-31,43.087916146
1979-11-30,43.0571331
1979-10-31,42.934874151
1979-09-30,42.65608377
1979-08-31,42.233766158
1979-07-31,41.758394345
1979-06-30,41.296678838
1979-05-31,40.848097207
1979-04-30,40.49534807
1979-03-31,40.297736788
1979-02-28,40.140581029
1979-01-31,39.91163901
1978-12-31,39.564927458
1978-11-30,39.137141749
1978-10-31,38.68928031
1978-09-30,38.282872537
1978-08-31,37.888079131
1978-07-31,37.411800355
1978-06-30,36.86137391
1978-05-31,36.300135948
1978-04-30,35.746645576
1978-03-31,35.240793211
1978-02-28,34.831029079
1978-01-31,34.481111782
1977-12-31,34.193501068
1977-11-30,33.981898798
1977-10-31,33.819636871
1977-09-30,33.612194791
1977-08-31,33.250707877
1977-07-31,32.709789125
1977-06-30,32.02598473
1977-05-31,31.309449672
1977-04-30,30.721479111
1977-03-31,30.341898107
1977-02-28,30.113642205
1977-01-31,29.878037152
1976-12-31,29.511939195
1976-11-30,29.045384782
1976-10-31,28.563799306
1976-09-30,28.093915759
1976-08-31,27.600481212
1976-07-31,27.056299148
1976-06-30,26.481149497
1976-05-31,25.941962342
1976-04-30,25.505320203
1976-03-31,25.150528658
1976-02-29,24.862367742
1976-01-31,24.638208148
1975-12-31,24.431008546
1975-11-30,24.247740925
1975-10-31,24.084508353
1975-09-30,23.894810509
1975-08-31,23.633637399
1975-07-31,23.267988296
1975-06-30,22.811891828
1975-05-31,22.323346216
1975-04-30,21.84681468
1975-03-31,21.359634964
1975-02-28,20.82928964
1975-01-31,20.272773472
